parameter,sparsity,top1,top5,loss
module.layer1.0.conv3.weight,0.8500000000000001,75.01400000000001,92.406,1.0069385911433064
module.layer1.0.conv3.weight,0.9,74.37,92.05,1.035527251356719
module.layer1.0.downsample.0.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.0.downsample.0.weight,0.05,76.13,92.862,0.964678733476571
module.layer1.0.downsample.0.weight,0.1,76.13,92.862,0.9646789673335701
module.layer1.0.downsample.0.weight,0.15000000000000002,76.142,92.85799999999999,0.9646644669071752
module.layer1.0.downsample.0.weight,0.2,76.128,92.872,0.9646582851300434
module.layer1.0.downsample.0.weight,0.25,76.134,92.85600000000001,0.9646665365720278
module.layer1.0.downsample.0.weight,0.30000000000000004,76.104,92.914,0.9647183723139527
module.layer1.0.downsample.0.weight,0.35000000000000003,76.088,92.91199999999999,0.9650066160425848
module.layer1.0.downsample.0.weight,0.4,76.116,92.904,0.9653412233657989
module.layer1.0.downsample.0.weight,0.45,76.05199999999999,92.876,0.9672500840863401
module.layer1.0.downsample.0.weight,0.5,75.896,92.904,0.9689957643954121
module.layer1.0.downsample.0.weight,0.55,75.778,92.85,0.9771525994399379
module.layer1.0.downsample.0.weight,0.6000000000000001,75.39,92.718,0.9881045178187139
module.layer1.0.downsample.0.weight,0.65,75.086,92.512,1.0018006762375637
module.layer1.0.downsample.0.weight,0.7000000000000001,74.222,92.094,1.0415832934026814
module.layer1.0.downsample.0.weight,0.75,73.16,91.476,1.0877244760643463
module.layer1.0.downsample.0.weight,0.8,68.946,88.94999999999999,1.2972769445302532
module.layer1.0.downsample.0.weight,0.8500000000000001,55.29200000000001,78.99000000000001,2.0414339735799905
module.layer1.0.downsample.0.weight,0.9,22.430000000000007,41.754000000000005,4.906117030552454
module.layer1.1.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.1.conv1.weight,0.05,76.13,92.862,0.9646787427517838
module.layer1.1.conv1.weight,0.1,76.13,92.862,0.9646787427517838
module.layer1.1.conv1.weight,0.15000000000000002,76.13,92.862,0.9646788177897734
module.layer1.1.conv1.weight,0.2,76.132,92.866,0.9646980795173011
module.layer1.1.conv1.weight,0.25,76.13799999999999,92.866,0.964644499655281
module.layer1.1.conv1.weight,0.30000000000000004,76.134,92.85,0.9646424996305486
module.layer1.1.conv1.weight,0.35000000000000003,76.13,92.862,0.9646380628858297
module.layer1.1.conv1.weight,0.4,76.114,92.9,0.964663802893186
module.layer1.1.conv1.weight,0.45,76.106,92.892,0.9646611480536511
module.layer1.1.conv1.weight,0.5,76.132,92.908,0.9647419572788842
module.layer1.1.conv1.weight,0.55,76.076,92.914,0.9647796917326594
module.layer1.1.conv1.weight,0.6000000000000001,76.068,92.93,0.9649580694278891
module.layer1.1.conv1.weight,0.65,76.018,92.89,0.9656707695400227
module.layer1.1.conv1.weight,0.7000000000000001,75.91,92.894,0.9668497529869173
module.layer1.1.conv1.weight,0.75,75.742,92.84400000000001,0.9713135561620704
module.layer1.1.conv1.weight,0.8,75.558,92.672,0.9809340896959206
module.layer1.1.conv1.weight,0.8500000000000001,75.012,92.384,1.0029777998522837
module.layer1.1.conv1.weight,0.9,74.458,92.094,1.027277434054685
module.layer1.1.conv2.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.1.conv2.weight,0.05,76.13,92.862,0.9646787427517838
module.layer1.1.conv2.weight,0.1,76.132,92.862,0.9646713070723472
module.layer1.1.conv2.weight,0.15000000000000002,76.134,92.862,0.9646820674593357
module.layer1.1.conv2.weight,0.2,76.11,92.854,0.9646644831768102
module.layer1.1.conv2.weight,0.25,76.128,92.866,0.9648199892621867
module.layer1.1.conv2.weight,0.30000000000000004,76.098,92.86999999999999,0.9648852650152174
module.layer1.1.conv2.weight,0.35000000000000003,76.112,92.876,0.9647212297636638
module.layer1.1.conv2.weight,0.4,76.114,92.848,0.9649047076093908
module.layer1.1.conv2.weight,0.45,76.05199999999999,92.868,0.9652251461330724
module.layer1.1.conv2.weight,0.5,76.08200000000001,92.872,0.9653445777236197
module.layer1.1.conv2.weight,0.55,76.106,92.878,0.965640359843264
module.layer1.1.conv2.weight,0.6000000000000001,76.086,92.85799999999999,0.9658721320483152
module.layer1.1.conv2.weight,0.65,76.064,92.85600000000001,0.9667428899176267
module.layer1.1.conv2.weight,0.7000000000000001,75.964,92.78800000000001,0.968377138507001
module.layer1.1.conv2.weight,0.75,75.958,92.806,0.9699067855063751
module.layer1.1.conv2.weight,0.8,75.858,92.78999999999999,0.9726692918612041
module.layer1.1.conv2.weight,0.8500000000000001,75.79400000000001,92.744,0.9811776144316005
module.layer1.1.conv2.weight,0.9,75.432,92.592,0.9949476432283317
module.layer1.1.conv3.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.1.conv3.weight,0.05,76.128,92.862,0.9646802059545811
module.layer1.1.conv3.weight,0.1,76.134,92.866,0.9646691743056385
module.layer1.1.conv3.weight,0.15000000000000002,76.126,92.86,0.9646659405255803
module.layer1.1.conv3.weight,0.2,76.128,92.86,0.9646913140860138
module.layer1.1.conv3.weight,0.25,76.116,92.852,0.9646996781229973
module.layer1.1.conv3.weight,0.30000000000000004,76.106,92.868,0.9646412826010157
module.layer1.1.conv3.weight,0.35000000000000003,76.12,92.866,0.9646953339023249
module.layer1.1.conv3.weight,0.4,76.114,92.876,0.9646109131982131
module.layer1.1.conv3.weight,0.45,76.12,92.866,0.9645862941231045
module.layer1.1.conv3.weight,0.5,76.13799999999999,92.886,0.9649667459331002
module.layer1.1.conv3.weight,0.55,76.114,92.888,0.9650944603645071
module.layer1.1.conv3.weight,0.6000000000000001,76.078,92.906,0.9652688163427674
module.layer1.1.conv3.weight,0.65,76.058,92.9,0.9656933712563953
module.layer1.1.conv3.weight,0.7000000000000001,76.048,92.852,0.9670554946879948
module.layer1.1.conv3.weight,0.75,76.03,92.78,0.9688309867467197
module.layer1.1.conv3.weight,0.8,75.98,92.764,0.9714584238066962
module.layer1.1.conv3.weight,0.8500000000000001,75.774,92.688,0.9793139076506607
